crh_Latn,ukr
"Ukraina, işğal etilgen territoriyalarnen vaziyeti sebebinden BMT Baş assambleyasınıñ munaqaşalarnı çağırmağa istey",Україна хоче скликати дебати Генасамблеї ООН через ситуацію з окупованими територіями
USQ reaktiv artilleriyasınıñ bölükleri nariy mevzimlerinde açıluvı ve faraziy duşmanınıñ nişanlarına yöneltüvi üzerinde çalıştılar,Підрозділи реактивної артилерії ЗСУ відпрацювали розгортання на вогневих позиціях і наведення на цілі умовного противника
Halq deputatlar qırım siyasiy mabuslarına destek olaraq Şurada futbolkalarnı kiydiler,Нардепи одягли футболки на підтримку кримських політв'язнів у Раді
"Zelenskiy, ülkeniñ mudafaa qabiliyetiniñ pekitüvi aqqında emirni imzaladı. O, neni köz ögünde tuta?",Зеленський підписав указ про зміцнення обороноздатності країни. Що він передбачає?
“Cemilevniñ davası”: işğal etilgen Qırımda nevbetteki makeme oturışı keçecek,«Справа Джемілєва»: в окупованому Криму відбудеться чергове судове засідання 
“Bağçasaraydaki dörtünci Hizb ut-Tahrir gruppasınıñ” siyasiy mabusları terrorizmde qabaatlavlarnı red ettiler,Політв'язні «четвертої Бахчисарайської групи» Хізб-ут-Тахрір відкинули звинувачення в тероризмі
“Tibbiy yardımına olarnıñ ihtiyacı bar”. Ukraina konsulları Qırımdaki siyasiy mabuslarınen rusiye taqiqat tevqifhanesinde körüştiler,«Вони потребують медичної допомоги». Консули України зустрілися у російському СІЗО із політв'язнями з Криму
2014 seneden itibaren işğalcılar Qırımdan 34 biñ insannı seferber ettiler,34 тисячи людей мобілізували окупанти в Криму з 2014 року
İşğalcılar Qara deñizde oqutuvlarnıñ bitüvi aqqında ilân ettiler ,Окупанти заявили про завершення навчань у Чорному морі
"Ukrain vatandaşı, işğal etilgen Qırımğa arbiy yedeklerni alıp kirsetmege tırışqan  edi",Українець намагався провезти до окупованого Криму боєприпаси
"NATO, Ukrainağa rusiye tecavuzına qarşı çıqmağa yardım ete, amma arbiylerni yollamaycaq - Stoltenberg","НАТО допомагає Україні протистояти російській агресії, але не відправлятиме війська – Столтенберг"
İşğal etilgen Qırımda köy deputatlarnı saylap alalar,В окупованому Криму обирають сільських «депутатів»
İşğal etilgen Kezlevde betontaşıcı maşna yer altına tuştı ,В окупованій Євпаторії провалився під землю бетоновоз
Ay-Petri yolunı ilk baar aynıñ 1-ce çığ telükesi sebebinden qapattılar,Дорогу на Ай-Петрі перекрили до 1 березня через загрозу сходу лавин
Qırımdan ve DLVAR kelgen 200 abituriyent Reintegratsiya nazirliknıñ azırlıq kurslarını keçtiler,Перші 200 абітурієнтів з Криму та ОРДЛО пройшли підготовчі курси Мінреінтеграції
Britaniyanıñ premyer-naziri Putin ile aytışmalardan evel Ukrainanı ziyaret etecek,Британський прем’єр-міністр наступного тижня відвідає Україну перед перемовинами з Путіним
İşğal etilgen Yaltada ölüm yol qazası oldı,В окупованій Ялті сталася смертельна ДТП
İşğalcilar yañı gaz borusını qurmağa maqsadınnen Aqyar sakinlerden 27 yer meydanını çekiip almağa ola bileler,У севастопольців можуть вилучити окупанти 27 ділянок для будівництва нового газопроводу
Qırımda işğalcilar qanunsız eki dane ukrain balıqçinı toqtattılar,Окупанти у Криму незаконно затримали двох українських рибалок
Stoltenberg Rusiyenı Ukrainağa ucumnıñ “neticeleri” aqqında tenbiledi,"Столтенберг попередив Росію про ""наслідки"" у разі нападу на Україну"
Apislengen Celâlov öz mektübine rus adaletini peşin fikirde ve yalanda qabaatladı,Заарештований Джелялов у своєму листі звинуватив російське правосуддя в упередженості та брехні
AŞPA ukrain vekilâyetinnen teklif etilgen zorbalıqnen ğayıp etüvlernıñ toqtatuvı aqqında Rezolütsiyanı qabul etti,У ПАРЄ ухвалили Резолюцію щодо припинення практики насильницьких зникнень із 6 поправками від української делегації
Ukrain askerleri işğal etilgen Qırımnıñ sınırı yanında taktik-mahsus oquşlarını keçirdiler,Українські військовослужбовці провели тактико-спеціальне навчання біля адмінмежі з окупованим Кримом
Cemil Gafarov siyasiy mabuske tibbiy yardım etilmey - Denisova,Політв'язню Джемілю Гафарову не надається медична допомога - Денісова
Jurnalist Yefimenko qorqızuvlar ve taqıpler aqqında haber etti,Журналістка Єфименко повідомила про залякування та переслідування її в окупованому Криму
Siyasiy mabuslernıñ ömür arqadaşları “Qırım marafonnıñ” yardımı ile memuriy para cezalarını ödedıler,Дружини політв'язнів сплатили адміністративні штрафи за допомогою «Кримського марафону»
Erdogan Putinnıñ ve Zelenskiynıñ körüşüvini teşkil etmege teklifini tekrarladı,Ердоган повторив пропозицію організувати в країні зустріч Зеленського і Путіна
“Normand dörtnıñ” mesleatçilarnıñ sekiz saatlıq körüşüvnıñ neticeleri: belli olğanı,Результати 8-годинної зустрічі радників «Нормандської четвірки»: деталі
BHT mahsus maruzacısı Qırımnıñ suv hocalığını muzakere etti,Спеціальний доповідач ООН обговорив водне господарство Криму
İşğal etilgen Qırımnıñ müzeyleri Amsterdamnıñ istinaf makemenıñ  skit altını aqqında qararını şikâyet etecekler ,Музеї окупованого Криму оскаржуватимуть рішення апеляційного суду Амстердаму щодо скіфського золота
İşğal etilgen Qırımda qırımtatar komplekste tintüv keçireler,В окупованому Криму у кримськотатарському комплексі проводять обшук | ОНОВЛЕНО
Bayden Putinnı şahsiy sanktsiyalar aqqında tenbiledi,Байден пригрозив Путіну персональними санкціями у разі повномасштабного вторгнення РФ в Україну
AQŞ ve Britaniyanıñ aviaistihbaratçılar işğal etilgen Qırımnıñ yanında Qaradeñız regionda olğan vaziyetini nezaret eteler,Авіарозвідники зі США та Британії моніторили ситуацію у Чорноморському регіоні біля окупованого Криму
RF işğal Cenübiy arbiy ortalıqta cenkâver qabiliyetlernıñ teşkerüvi başlandı ,В окупаційному Південному військовому окрузі РФ почалася перевірка боєздатності
Rusiye Ukrainağa kelecek on kün devamında ucumlanmağa ola bile - The Sun ,Росія може завдати обмеженого удару по Україні протягом найближчих десяти днів - The Sun 
Rusiyenıñ Ukrainağa qarşı tecavuziy areketlerine qattı reaktsiyanıñ olmağanı global neticelerge ketirecek - Blinken,Відсутність жорсткої реакції на агресивні дії Росії проти України загрожує глобальними наслідками - Блінкен
AB Qırımnıñ işğali sebebinden Rusiyege qarşı sanktsiyalarını kenişlemek niyet ete - Spiegel,ЄС планує розширити санкції проти Росії через окупацію Криму - Spiegel
Avropa birligi şimdiki vaqıtında Ukrainadan diplomatlarnıñ qorantalarını tahliye etmege niyet etmey - Börrel,Євросоюз зараз не планує вивозити сім'ї дипломатів із України - Боррель
AŞPA rus vekilâyetnıñ aqlarını muvafaqıyetnen şikâyet ettiler,Повноваження російської делегації у ПАРЄ успішно оскаржили
AQŞ ve Büyük Britaniya rus tecavuznıñ kerginleşüvi sebepten Ukrainadan öz diplomatlarını tahliye ete. Ukraina TİN tefsir etti,США та Велика Британія евакуюють своїх дипломатів з України через загрозу посилення російської агресії. МЗС України прокоментували
İşğal etilgen Qırımda mobil bağnıñ hızmetleriniñ fiyatı köterile,В окупованому Криму знову дорожчають послуги мобільного зв’язку
"Almaniya ADQ sabıq reberi Kay-Ahim Şenbah, “Barıştırıcı” bazasına oğradı ",Ексочільник ВМС Німеччини Кай-Ахім Шенбах потрапив до бази «Миротворця»
"Qırım platforması, Rusiye içün qozğaltıcısı ola - Kuleba",Кримська платформа є величезним подразником для Росії - Кулеба
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 510  yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 510 нових випадків COVID-19
"Almaniya ADQ başı, Ukraina tarafına davalı bildirüvlerden soñ istifağa ariza bergen",Голова ВМС Німеччини подав у відставку після скандальних заяв у бік України
Almaniya Mudafaa nazirliginde “ğayip etilgen Qırım” aqqında ADQ başnıñ sözlerine cevap berdiler,"У Міноборони Німеччини відреагували на слова голови ВМС про ""втрачений Крим"""
"Qırımdaki işğal makemesi, işkenceler sebebinden Yesipenkoğa cinaiy davanıñ açılmasını red etti",Окупаційний суд у Криму відмовив Єсипенку в порушенні справи через тортури
"Ukraina TİN, Qırımnıñ Ukrainağa qaytarmamazlığı aqqında Almaniya ADQ reberiniñ arizasına cevap berdi",МЗС України відреагувало на заяву командувача ВМС Німеччини про неповернення Криму Україні
İşğalcılar taqiqat tevqifhanesinde Rustem Murasov ve Zavur Abdullayevge tevqifini uzattı ,Окупанти продовжили арешт у СІЗО Рустему Мурасову та Завуру Абдуллаєву
"Almaniya ADQ başı, işğal etilgen Qırım, Ukraina terkibine bir vaqıt qaytmaycağını ilân etken","Глава ВМС Німеччини заявив, що окупований Крим ніколи не повернеться до складу України"
“Qalançaq” KÇNN’da havflı nesnelerniñ tapılması içün aletlerni pekiteler,На КПВВ «Каланчак» встановлюють прилади для виявлення небезпечних предметів
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 445  yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 445 нових випадків COVID-19
"Zelenskiy, rusiye uquqiy şahıslar ve kompaniyalarnıñ sırasına qarşı yañı sanktsıyalarnı kirsetti",Зеленський запровадив нові санкції проти низки росіян та російських компаній
"Ukraina, AŞPA’da rusiye murahhaslarnıñ vazifelerni temyiz etecek",Україна оскаржить повноваження російської делегації у ПАРЄ
“yePidtrımka” programmasını vaqtınca işğal etilgen territoriyalarında yaşağan ukrainler de qullanabileler,"Програмою ""єПідтримка"" можуть скористатися українці, які проживають на тимчасово окупованих територіях"
"İspaniya, Qara ve Aq deñizlerine arbiy gemilerni yolladı ",Іспанія направила військові кораблі до Чорного та Середземного моря
"Slovakiya baş naziri, RF qarşı qırım sanktsıyalarına dair öz arizanı “şahsiy fikiri” dep adladı","Віце-прем'єр Словаччини назвав ""особистою думкою"" свою заяву щодо кримських санкцій проти РФ"
İşğal etilgen Aqmescitte minalav aqqında beyanatı sebebinden bütün mekteplerde derslerni lâğu ettiler,В окупованому Сімферополі скасували заняття у всіх школах через повідомлення про мінування
"Rostov-na-Donudaki prokurorı, 64 yaşında olğan Zekirya Mamutovnı 12 yılğa azatlıqtan marum etmege istey",Прокурор у Ростові-на-Дону просить посадити 64-річного Зекірью Муратова на 12 років
"AQŞ, Ukrainağa ilâve mudafaa silânı bermege azırlar - Kuleba",США готові надати Україні додаткову оборонну зброю - Кулеба
"Herson vilâyetinde USQ, vaziyetniñ deral deñişüv alda idmanlarnı keçirdiler ",На Херсонщині ЗСУ провели тренування в умовах раптової зміни обстановки
Qırımtatar tilniñ saqlanuvı içün raqamiy muvaziy metinlerniñ massivini toplaycaqlar,Для збереження кримськотатарської мови зберуть масив цифрових паралельних текстів
"Ukraina, Qırım platformasınıñ bütün yönelişleri boyunca ortaqlatnen mesleatlarnı keçirecek - Ceppar",Україна проведе консультації з партнерами по всіх пріоритетах Кримської платформи - Джеппар
RF arbiylerinen Ukrainanen sıñırınıñ er bir keçüvi arbiy ücümi kibi sayılacaq - Psaki,Будь-який перетин військовими РФ кордону з Україною США розцінять як військове вторгнення - Псакі
Ukrainanıñ sıñırları yanında tahminen yüz biñ rusiye askeri bar - Blinken,Біля кордонів України близько ста тисяч російських армійців - Блінкен
"“Meni mında tınç sürette öldüreler”: siyasiy mabusı Prihodkonıñ qızı, Rusiyede babasınıñ işkenceleri aqqında bildirdi",«Мене тут тихо вбивають»: дочка політв'язня Приходько заявила про тортури батька в Росії
Ukrainağa RF’nıñ er bir kirüviñ ciddiy aqibetleri olacaq - Kanada TİN,Будь-яке вторгнення РФ в Україну матиме серйозні наслідки - МЗС Канади
İşğalcılar suriye turistlerni Qırımğa Soçi ve Erivandan alıp ketirmege isteyler,Окупанти хочуть возити сирійських туристів до Криму літаками через Сочі та Єреван
AQŞ devlet kâtibi Entoni Blinken Kiyevge kelgen ,Держсекретар США прибув до Києва
Territorial mudafaa sistemasınıñ açıluvı üç devirde olunacaq - Reznikov ,Розгортання системи територіальної оборони відбуватиметься у три етапи - Резніков 
"Rusiye makemesi, qırımtatarı Şihametovnıñ tevqifini üç ayğa uzatqan",Російський суд продовжив на три місяці арешт кримського татарина Шихаметова
Rusiye arbiyleri Aqrusiyege umumiy oqutuvlar arfesinde keleler,Російські війська прибувають до Білорусі напередодні спільних навчань
BMT’ge Qırımda işğalcılarnen keçirilgen cınsiyet tecavuzı siyaseti aqqında beyanatnı yolladılar,"В ООН направили повідомлення про політику гендерного насильства, що проводиться окупантами в Криму"
"Almaniya, “Qırım platformasındaki” işiniñ yönelişlerinden birini idare etmege başladı",Німеччина очолила один із напрямків роботи «Кримської платформи»
"Omikron ştamı, işğal etilgen Qırımda resmiyleştirilgen",Штам Омікрон зареєстровано в окупованому Криму
“Tavridada” işğalcılarnıñ arbiy tehnikası yana,На «Тавриді» горить військова техніка окупантів
Siyasiy mabusı Müslim Aliyevni kene de qara qış aynıñ 30 qadar taqiqat tevqifhanesiniñ cezahanesine yolladılar,Політв'язня Мусліма Алієва знову відправили до штрафного ізолятора колонії до 30 січня
İşğalcılar Yaltada Tsımmerman sayfiyesini yoq etmege isteyler,Окупанти збираються знести дачу Циммермана в Ялті
Qırımda “Taygan” arslanlar parkı ve “Kazka” ayvanat bağçasını qapattılar,У Криму закрили парк левів «Тайган» та зоопарк «Казка»
Brakonyerlik sebebinden işğal etilgen Qırım ardıçsız qalmağa ola bile,Через браконьєрів окупований Крим може залишитися без ялівцю
AB ukrain ükümet saytlarnına ucumlar sebebinden kiber mudafaa ile oquşlarını başladı,ЄС розпочав навчання із запобігання кібератакам на тлі зламу хакерами українських урядових сайтів
Büyük Britaniyanıñ TİN Rusiyenı tecavuziy areketlerini toqtatmağa ve Ukrainadan ordularını almağa çağırttı,У МЗС Великої Британії закликали Росію припинити агресію і відвести війська від України
İşğal etilgen Qırımda qasırğa keçti: binler yerli sakinler elektroenergiyasız qaldılar,Ураган в окупованому Криму: тисячі місцевих жителів залишились без електроенергії 
RF QF “Kasimov” gemiqarşı yıfaq meminıñ erkânı fevquvale avada top atuvlarını keçirdi,Екіпаж малого протичовнового корабля «Касимов» ЧФ РФ виконав артилерійські стрілянини у штормову погоду
İşğal etilgen Qırımda Tavrida yolunda ziherli transporter qazağa oğradı,Російський БТР потрапив у ДТП на трасі Таврида в окупованому Криму
RF QF yañı yıfaq raketalı gemisı “Tsiklon” soñki teşkerüvlarından keçe,"Новий малий ракетний корабель ""Циклон"" ЧФ РФ завершує проходження заводських ходових випробувань"
Rusiye ucumlanmaq içün sebebini yaratmağa niyetinnen  Donbasta başqasınıñ bayrağı ile mahsus operatsiyanı azırlay  - Sallіvan,"Росія готує спецоперацію під чужим прапором на Донбасі, щоб створити привід для вторгнення - Салліван"
Avropa birligi Ukrainağa qarşı  yapılğan kiberucumını maküm etti,Євросоюз рішуче засудив кібератаку на Україну
Ukraina saytlarına kiberucum RF tarafından yapılğan - ükümet ekspertlernıñ tedqiqatı,Хакерську атаку на офіційні сайти України здійснили з РФ - дослідження урядових експертів
Rusiyenıñ mahsus hızmetleri Ukrainanı qabaatlamaq içün öz askerlerine qarşı provokatsiyalarını azırlaylar - Bİİ,Спецслужби Росії готують провокації проти своїх військових для звинувачення у цьому України - ГУР
"AQŞ Cenatı, “2’ci Şimaliy aqımına” qarşı sanktsiyalarını qabul etmedi ",Сенат США не підтримав санкції проти «Північного потоку-2»
Gecede hakerler ükümet saytlarına ve “Diyağa” ucum ettiler. Şahsiy malümatlar coyulmadılar - Raqam nazirligi,"Вночі хакери атакували урядові сайти і ""Дію"". Витоку персональних даних не було - Мінцифри"
"""K2"" telekanalına “rus” Qırımı sebepten tenbi çıqarıldı",Телеканал «К2» отримав попередження за «російський» Крим в етері
Firtaş UAMK razılıqsız qırımdaki titan zavodını işğalcilarğa sattı,Фірташ продав кримський титановий завод окупантам без дозволу АМКУ
Turkiyenıñ Qırımnıñ qanunsız işğal etüvnıñ qabul etmemezlik fikiri printsipialdır,Туреччина назвала принциповою позицією невизнання країною незаконної окупації Криму
AQŞ senatı yanvar aynıñ 13 “Şimaliy aqım-2” qarşı sanktsiyalar aqqında qanun leyhasına rey berecek,"Сенат США 13 січня голосуватиме за законопроєкт про санкції проти ""Північного потоку-2"""
"Rusiye ile dialogına qoşuldıq, lâkin avropalı devletlernıñ territorial bütünliknıñ ve suverenitetnıñ printsipleri ile biz razılaşmaq azır degilmiz - Stoltenberg ","Ми долучилися до діалогу з РФ, але не збираємося йти на компроміс щодо суверенітету і територіальної цілісності європейських країн - Столтенберг "
2022 senesi işğalcilar ava mudafaa ordularına eki dane yañı bölügini yaratacaqlar,У 2022 році у військах ПВО окупанти сформують дві нові дивізії
İşğal etilgen Qırımda FTH imam Fevziyev ve daa dört dane qırımtatar adamğa qarşı cinayet davasını açtı,В окупованому Криму ФСБ порушила кримінальну справу стосовно імама Февзієва та ще чотирьох кримських татар
AQŞ Ukraina sınırları boyu yañı arbiy oquşlar sebebinden Rusiyeden añlatuvlar bekleyler,США чекають пояснень від Росії щодо нових військових навчань біля кордонів України
Bariyev işğal etilgen Qırımda 2021 senenin aralıq ayında insan aqlarnıñ kütleviy bozuvlarnıñ sayısını haber etti,Барієв повідомив скільки було масових порушень прав людини в окупованому Криму за грудень 2021
“Hizb ut-Tahrir davası”  Qurman gruppanıñ iştiraqçisını Yemiruseinovnı Saratov vilâyetine etap ettiler,Фігуранта Красногвардійської групи у «справі Хізб ут-Тахрір» Емірусеїнова етапували до Саратовської області | ОНОВЛЕНО
Frenk telekanalı haritada işğal etilgen Qırımnı Rusiye qısımı olaraq kösterdı,Французький телеканал зобразив на мапі окупований Крим як частину Росії
AQŞ Senatnıñ demokratları “Şimaliy aqım-2” qarşı Kruz sanktsiyalar sebepten Berlin ile munasibetlernıñ bozuvından qorqalar,"Демократи у Сенаті США бояться погіршення відносин з Берліном через санкції Круза проти ""Північного потоку-2"""
İşğalcilar Qırımda  RF ordusına 14 qanunsız celp etüv kampaniyasını keçirdiler - Ponoçovnıy,Окупанти провели у Криму 14 незаконних призовів до армії РФ - Поночовний
Ukraina TİN birinci kere resmiy şekilde Kazahstandaki zorbalıqnı maküm etti,МЗС України вперше офіційно засудило насильство у Казахстані
Kiyevde “Putinge yoq ayt” adlı aktsiya keçti. Bu tedbir ile Rusiyenıñ Ukrainağa qarşı tecavuziy areketlerine halqara cimetnıñ diqqatını celp ettiler ,У Києві на акції «Скажи Путіну Ні» привернули увагу міжнародної спільноти до агресивних дій Росії щодо України
Rus ükümeti Azaq deñıznıñ tübüne tapılğan suvnı tehnik ile tanıdı - Husnullin,"Російський уряд визнав технічною воду, виявлену під Азовським морем - Хуснуллін "
Advokat Polozov  “kiçik aynıñ 26” aqqında öz kitabını taqdim etti,Адвокат Полозов презентував свою книгу про «справу 26 лютого» 
“Duşmanım. Bizni qaytardılar”: rusiye tiktokeri Danâ Milohinni Ukrainağa kirsetmediler,«Я - враг. Нас развернули»: російського тіктокера Даню Мілохіна не пустили в Україну
Qırımdaki işğalcılar RF QF qurtarıcı gemilerniñ oqutuvlarnı keçirdiler,Окупанти у Криму провели навчання рятувальних судів ЧФ РФ
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 135 yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 135 нових випадків COVID-19
Ukraina ve Gürcistan Qara deñizde RF’nıñ “viran etici areketlerini” ve “Qırım platformasını” müzakere ettiler,Україна та Грузія обговорили «деструктивні дії» РФ у Чорному морі та «Кримську платформу»
İşğal etilgen Qırımdaki çekişler sebebinden rusiye aktörni Ukrainağa kirsetmediler ,В Україну не впустили російського актора через зйомки в окупованому Криму
"Britaniya, Ukrainanen sıñırında ve işğal etilgen Qırımda rusiye arbiyleriniñ arttıruvını qabul etilmez olğanını adladı",Британія назвала неприйнятним нарощування російських військ на кордоні з Україною і в окупованому Криму
Amerikalı KHV Ukrainanıñ sıñırlarında rusiye arbiylerniñ yerleştirüv haritasını yayınladı,Американські ЗМІ опублікували карту розташування російських військ на кордоні України
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 144 yañı vaqianı qayd ettiler,В АР Крим та Севастополі окупанти зафіксували 144 нових випадки COVID-19
İşğal etilgen Qırımda qırımtatarı Çalgozovnıñ evi yanında yüzden ziyade insan toplandı,В окупованому Криму біля будинку кримського татарина Чалгозова зібралося понад сто людей
AQŞ’da işğal etilgen Qırımdaki yarışlarından biriniñ vekiline vizanı bermediler, США відмовили у візі представниці одного з конкурсів з окупованого Криму
Yıl içinde sıñırcılar işğal etilgen Qırımğa ve keri tarafına 660 biñden ziyade insannı kirsettiler,За рік українські прикордонники пропустили до окупованого Криму і назад понад 660 тисяч людей
Qırımtatarca haberlerni Reintegratsıya nazirligi yayınlamağa başladı,Новини кримськотатарською мовою почало публікувати Мінреінтеграції
"Qırımnıñ işğalinden soñ Ukraina, AB’den büyük maliyeviy destegini alğan - Borrel",Після окупації Криму Україна отримала чималу фінансову допомогу від ЄС — Боррель
"Qırım prokuraturası, 2021 senesi içinde eki yüzden ziyade cinaiy davasını tahqiq etti",Прокуратура Криму за 2021 рік розслідувала понад дві сотні кримінальних справ
"QMC’de Ukraina prezidentiniñ vekilligi, Qırım aqqında kitaplarnıñ sırasını azırlağan",Представництво Президента в АРК підготувало добірку книжок про Крим
"Latviya, AB ve NATO’nı Ukrainağa RF ücüm etüv telükelerine azır olmağa çağırdı",Латвія закликала ЄС і НАТО бути готовими до загроз вторгнення РФ в Україну
BMT Telükesizlik Şurasında Ukainanıñ sıñırları yanında olğan vaziyetini müzakere ettiler,У Раді Безпеки ООН обговорили ситуацію біля кордонів України
İşğal etilgen Qırımdaki Foros parkında 350 yaşında olğan tereklerni yoq etmege devam eteler,В окупованому Криму у Фороському парку продовжують знищувати 350-річні дерева
"Gaz, ükümet istifası ve narazılıqçılarnıñ dağıtuvı. Qazahistanda ne oluna","Газ, відставка уряду та розгони демонстрантів. Що відбувається у Казахстані"
"Qırımlı Çalgozov, onı FTH celp etmege tırışqanı aqqında ilân etti","Кримчанин Чалгозов заявив, що його намагалася завербувати ФСБ"
İşğal etilgen Qırımda ukrain medialarnıñ eñ azdan 21 saytnı blok eteler - uquq qoruyıcılar,В окупованому Криму блокують щонайменше 21 сайт українських медіа - правозахисники
"AQŞ senatorları, “2’ci Şimaliy aqımına” qarşı tez sanktsıyalarnı tahmin eteler",Сенатори США прогнозують швидкі санкції проти «Північного потоку-2» 
İşğal etilgen Qırımnen memuriy sıñırındaki KÇNN’nı yañı yıl bayramlar içinde 6 biñden ziyade insan keçken,КПВВ на адмінкордоні з окупованим Кримом за новорічні свята перетнули понад 6 тисяч осіб
"Ukrainada AB elçisi, Qırımnı diplomatiyasınen qaytarmağa Kiyevniñ ıntıluvlarına qol tutqan",Посол ЄС в Україні підтримав зусилля Києва повернути Крим дипломатією
Canköy rayonınıñ sakinleri qırımtatarlarğa dair işkencelerni toqtatmağa talap eteler ,Жительки Джанкойського району вимагають припинити тортури щодо кримських татар
"AB diplomatiya başı, Ulrainağa iş ziyaretinen kelecek",Глава дипломатії ЄС відвідає Україну з робочим візитом
"Rusiye, Avropa haritasını quvet ile deñiştirse, onı sanktsıyalar bekley - Finlândiya TİN","Росії загрожують санкції, якщо вона силою перекроюватиме карту Європи - МЗС Фінляндії"
"RF, işğal etilgen Qırımnıñ paranen temin etilmesine yanaşuvlarnı deñiştire",РФ змінює підходи до фінансування окупованого Криму
AQŞ istihbaratında Ukrainağa büyük miqyaslı ücüminden Putinni ne tutacaq dep tarif ettiler,"У розвідці США розповіли, що стримає Путіна від повномасштабного вторгнення в Україну"
"Rusiyeniñ tutuvı, Avropadaki tınçlığı ve oligarh sistemasınıñ yoq etüvi. Zelenskiy ve Bayden telefon vastası ile ne aqqında laf ete ediler","Стримування Росії, мир в Європі та деолігархізація. Про що говорили Зеленський і Байден телефоном"
"Kremlde ilân etkenleri kibi, işğal etilgen Qırımğa Lukaşenkonıñ ziyaretini “şimdi de” azırlamaq mümkün ","В Кремлі заявили, що візит Лукашенка до окупованого Криму можна організувати ""хоч зараз"""
Tinçliğini irişmek içün RF razılaşmaq olmay - AQŞ Ukrainaniñ ambasadori,Не може бути компромісу з РФ для досягнення миру - амбасадорка України у США
NATO esas maqsadi - RF Ukrainağa ucüminiñ musaadesizligi - Estoniya TIN başi,Недопущення нападу РФ в Україну є головною метою НАТО - глава МЗС Естонії
"Işğal etilgen Qirimda ve Aqyar şeerinde yanvar ayniñ 2 avasi bozulacaq, furtunalı tenbi çiqarildi","В окупованому Криму та Севастополі сильно зіпсується погода 2 січня, передають штормове попередження"
Qirimda yañi  yil gecesi devaminda 8 yanğın oldi,У Криму за час новорічної ночі сталося 8 пожеж
Yanvar ayniñ 2 Zelenskiy Baydennen subet keçirecek,Зеленський проведе розмову з Байденом 2 січня
Zelenskiy öz yañi  yilliq hayirlavina işğal etilgen Qirimni qayd etti,Зеленський у своєму новорічному вітанні згадав про окупований Крим
Ukraina ve Frenkistan ADQ Qara deñizde ortaq oquşlarini keçirdiler,ВМС України та Франції провели спільні тренування у Чорному морі
"Bayramliq künler işğal etilgen Qirimdaki memuriy sinirniñ KÇNN, COVID-19 test noqtalari ve MHM nasil areket etecekler","Як в святкові дні працюватимуть на адмінкордоні з окупованим Кримом КПВВ, пункти тестування на COVID-19, ЦНАПи"
Bayden ve Zelenskij yaqinda aytişmalarini keçirecekler - Beyaz ev,Байден і Зеленський незабаром проведуть переговори - Білий дім
"Blinken Frenkistan, Almaniya ve Britaniya TIN başlarinnen Rusiyeniñ tecavuzina cevabini muzakere  etti","Блінкен обговорив із главами МЗС Франції, ФРН та Британії відповідь на агресію Росії"
Ukraina özizolâtsiyani ve “Diya”qayd etüvini Donbastaki ve işğal' etil'gen Qirimdaki KÇNN red etti,"Україна скасувала самоізоляцію та встановлення ""Дії"" на КПВВ на Донбасі та адмінкордоні з окупованим Кримом"
“Memorial” “tiş agentler” qanunğa birinci şikyaetini berdi,«Мемориал» надав першу скаргу на закон про «іноземних агентів»
"UTH Q""irimniñ işğal memurieti ile taqiqatini bitirdi",СБУ завершила розслідування щодо керівників окупаційної адміністрації Криму
Reintegratsiya suallerden Nazirligi 2021 yilniñ soñuñace IKK vaqitace meskenlerini temin etmege vade ete,Міністерство з питань реінтеграції обіцяє тимчасове житло для ВПО до кінця 2021 року
Ukraina sinirlarniñ yaninda erleşken rus ordulari sebebinden AQŞ  öz aviataşicisini Aq deñizde qaldiracaqlar,США залишать свій авіаносець у Середземному морі через війська Росії біля кордонів України
" AQŞ ve AB Rusiyege qarşi sanktsiyalarini quvetleştirseler, Putin Ukrainanen cenkini bitirecek - Volker","Путін закінчить війну з Україною, якщо США та ЄС натиснуть на нього посиленими санкціями - Волкер"
AQŞ prezidentniñ mesleatçısi Lehistan ukümetini Ştatlarniñ NATOni RF tecavuzden mudafaa etmege azirliğini tasdiqladi ,Радник президента США запевнив Польщу у готовності Штатів захищати східний фланг НАТО від РФ
Işğal etilgen Qirimda “Cemilev davasiniñ” baquvi devam ete,В окупованому Криму продовжать розгляд «справи Джемілєва»
Işğal politsiya qirimtatar faallerniñ uç saattan ziyade toqtatuvlarina qanun bozuvlarini tampadi,Окупаційна поліція не знайшла порушень в утриманні кримськотатарських активістів у відділу понад трьох годин
Işğal etilgen Qirimda Rustem Ibadlaevniñ evine tintüvler keçti,В окупованому Криму пройшли обшуки у будинку Рустема Ібадлаєва
Aqyarniñ işğal ukümetine yañi rus “memurlar” peyda oldilar,В окупаційному уряді Севастополя з'явились нові російські «чиновники»
Cankoydaki qirimtatar halqniñ aqsaqallari qarimtatarlarğa qarşi azaplarini ve repressiyalarini toqtatmağa talap eteler,Старійшини кримськотатарського народу Джанкойського району вимагають припинити тортури та репресії кримських татар
