crh_Latn,eng
İşğal etilgen Qırımnıñ memuriy sınırı nında ukrain askerleri reaktiv toplarnıñ idmanlarını keçireler,Ukrainian military conducts training of jet artillery near the administrative border with occupied Crimea
ABŞ ve Büyük Britaniya işğal etilgen Qırımda keçirilgen RF Devlet Dumasına saylavlarını qabul etmey,The United States and Great Britain do not recognize the elections to the State Duma of the Russian Federation in occupied Crimea
Turkiye ve Lehistan işğal etilgen Qırımda keçirilgen RF Devlet Dumasına saylavlarını qabul etmey,Turkey and Poland do not recognize the Russian elections to the State Duma in occupied Crimea
Devlet Dumasına saylavlar: AB işğal etilgen Qırımda keçirilgen saylavlarnıñ neticerini qabul etmey,The Russian State Duma elections: EU does not recognize the results in occupied Crimea
UTH kontristihbaratı Qırımnıñ işğali devamında RF ava  boşluğını basıp almağa yardım etken adamını toqtattı,SBU counterintelligence detained the man who helped the Russian Federation to seize airspace during the occupation of Crimea
"Asan Ahtemovnı daa bir maddege köre qabaatlaylar, oña tibbiy yardımını etmeyler, kerekli ilâçlarını qabul etmeyler","Asan Akhtemov is charged with another article, and he is not allowed to see a doctor"
İşğal etilgen Qırımda keçirilgen saylavlarda marginal siyasetçiler baqıcilar ile iştiraq ettiler - TİN,"Marginal politicians became ""international observers"" in the elections in occupied Crimea - Ministry of Foreign Affairs"
İşğal etilgen Aqmescitte 15 künlik  apisten soñ Eldar Odamanov ve Arsen Ahtemov azatlıqqa çıkqtılar,"After 15 days of arrest, Eldar Odamanov and Arsen Akhtemov were released in occupied Simferopol"
Qırımdaki işğalcılar Ahtemov siyasiy mabusına qabaatlavını quvetleştirdiler,
"AQŞ, RF’nı Ukrainanen sıñırında OSCE missiyasınıñ mandatınıñ devam etmege çağırdılar",The United States called on Russia to unblock the extension of the mandate of the OSCE mission on the border with Ukraine
"Tevqif etilgen qırımtatarı Ahtemovnıñ anasına, işğal etilgen Aqmescitteki FTH binası yanında narazılığı içün cöreme ödettiler",
Qıırmdaki işğalcılar MTMŞ sanktsiyalarına cevap berdiler,The occupiers in the Crimea reacted to the sanctions of the National Security and Defense Council
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 330 yañı vaqianı qayd ettiler,"In the Autonomous Republic of Crimea and Sevastopol, the occupiers recorded 330 new cases of COVID-19"
"Ukraina, işğal etilgen territoriyasında Devlet dumasına saylavlarına alâqalı olğanlarına qarşı sanktsiyalarını kirsetecek",Ukraine will impose sanctions on those involved in the State Duma elections in the occupied territories
"Ukraina, gaz borusınıñ “diversiyasına” dair Rusiye FTH qızıştırıcı bildirüvlerine cevap berdi","Ukraine responded to provocative statements by the Russian FSS about ""sabotage"" on the gas pipeline"
İşğal etilgen Qırımda alan mezarınıñ qanunsız  qazuvı vaqtında III asırına ait olğan altın ve kümüş ilvanlarını taptılar ,Gold and silver ornaments of the III century were found in the occupied Crimea during illegal excavations of the Alan cemetery
"Avropa parlamenti, Avropa birliginiñ RF’nen  munasebetlerniñ kelecegi aqqında maruzasına qol tutqan",The European Parliament supported a report on the future of EU relations with Russia
«Qırım: Qırım - bizmiz» bedava kursı başlanğan,
"İşğalcılar, qırımtatar faali Zair Smedlâğa eñ büyük cöremeni ödettiler",The occupiers imposed a maximum fine on Crimean Tatar activist Zair Smedli
"BMT, siyasiy sebeplerden Qırım platformasını körmemezlikke urğan - Kuleba",The UN ignored the Crimean platform for political reasons - Kuleba
“Halqara cemiyetiniñ teren raatsızlıq alı muayyen areketlerine keçmek kerek” - Refat Çubarov,"""The state of deep concern of the international community must move to concrete action"" - Refat Chubarov"
Tevqif etilgen qırımtatar faallerniñ adları Jenevada BMT sessiyasında daa çoq sefer aytılacaqlar - Ukraina TİN,The names of arrested Crimean Tatar activists will be repeatedly announced at the UN session in Geneva - Ukrainian Foreign Ministry
İşğalcılar Qırımda artilleriya oqutuvlarnı başladılar,The occupiers staged artillery exercises in the Crimea
"Çeh makemesi, Qırım işğaline alâqalı olğan rusiyelini tevqif etti",A Czech court has arrested a Russian man involved in the occupation of Crimea
Kiyevde Qırım işğali aqqında hatırlavlarnıñ video toplamını taqdim ettiler,Video collections of memories of the occupation of Crimea were presented in Kyiv
"Bayden,  Ukrainanı RF’nen yalıñız qaldırmamağa söz berdi - Küleba",
"Aqmescitte Registr işğal devlet komitetiniñ hadimi, Kezlevdeki toprağı sebebinden tevqif etilgen",In Simferopol the employee of the occupying Goskomregist because of the earth in Evpatoria is arrested
İşğal etilgen Qırımdaki vaziyetniñ nezareti boyunca YUNESKO baş müdiriniñ maruzası yayınlandırılğan,UNESCO Director-General's report on monitoring situation in occupied Crimea published
İşğal etilgen Qırımdan Ukrainanıñ qıtaiy qısmına COVID-sertifikatları boyunca kirmek mümkün olacaq,From the occupied Crimea to the mainland Ukraine it will be possible to enter under COVID-certificates
Qırımnıñ işğal vaqtı içinde sanktsıyalarnıñ bozuluvı içün kompaniyalarnıñ mesuliyetke celp etüviniñ tek eki vaqiası qayd etilgen,
İşğal etilgen Qırımda RF SQ’de “hızmetten red etüvi” içün 250 ziyade davanı açtılar - uquq qoruyıcılar,"In the occupied Crimea brought more than 250 cases for ""evasion from service"" in the Armed Forces of the Russian Federation - human rights activist"
"Ukraina, Qırım işğaliniñ tutıp alınğan iştirakçısınıñ Pragadan ekstraditsiyası üzerinde çalışa",Ukraine is working on the extradition from Prague of a detained participant in the occupation of Crimea
"Türkiyede ukrainlernen avtobus, qazağa oğradı, elâk olğanı bar","In Turkey, a bus with Ukrainians crashed, is dead"
İşğal etilgen Qırımda ölüm derecesi artmağa devam ete,Mortality in the occupied Crimea continues to rise
"Bugün, işğal etilgen Qırımda ve RF’da ukrain siyasiy mabuslarına dair yedi makeme oturışı ötkerilecek",Seven court hearings on Ukrainian political prisoners will be held today in the occupied Crimea and Russia
AB Ukraina territorial bütünliknıñ bozuvı sebebinden  Rusiyege qarşı şahsiy sanktsiyalarını devamladı,The EU prolongs individual sanctions against Russia for undermining Ukraine’s territorial integrity
Yuqarı Şura işğal etilgen Qırımda qırımtatarlarnıñ qanunsız toqtatuvları aqqında qararına imdat bildirtti,The Verkhovna Rada supported the resolution on the illegal detention of Crimean Tatars in occupied Crimea
QRM işğal etilgen Qırımda insan aqlarını bozğan şahsiyetlerini sanktsiya cedveline qoştı,
Zelenskiy Rusiyenen tam cenknıñ başlanmasını farz ete,Zelensky admits possible war with Russia
İşğalciler ilk küz aynıñ 4 FTH binanıñ yanında qırımtatarlarnıñ kütleviy toplaşuvnıñ teşkilâtçisını qıdıralar,The occupiers are looking for the organizer of the spontaneous gathering of Crimean Tatars near the FSB building on September 4
Kiyevde qırımtatar mektebini açtılar,"An ""all-inclusive"" Crimean Tatar school opened in Kyiv"
“Uçunci Bağçasaray davanıñ” iştiraqçilarnıñ mudafaa tarafına 55 şaat çıqtılar - advokat,"55 witnesses have already defended the participants of the ""third Bakhchisaray case""- lawyer "
RF Apelâtsiya mahkemesi Refat Çubarovğa çıqarılğan ükümini qayd etti,The Court of Appeal of the Russian Federation approved the verdict of Refat Chubarov
Avropalı komissiya işğal etilgen territoriyalar ile tecpret yasağını qayd etti,The European Commission has registered an initiative to ban trade with the occupied territories
Çehiya TİN işğal FTH qırımtatarlarğa qarşı areketlerini maküm ete,The Czech Foreign Ministry condemns the actions of the occupying FSB against the Crimean Tatars
AB yelçileri Qırımnıñ işğali sebebinden qayd etilgen şahsiy sanktsiyalarını yarım yılğa devamlağa qarar çıqardılar,EU ambassadors agreed to extend for six months personal sanctions for the occupation of Crimea
İşğalciler Asan Ahtemovnıñ meskenıne tintüv keçireler,The occupiers are searching Asan Akhtemov's apartment
İşğal etilgen Qırımda yañı tintüvler keçeler: Meclisnin sabiq azasını Eldar Mensitovnı bilinmez yönelişte alıp kettiler,New searches in occupied Crimea: former member of the Mуjlis Eldar Mensitov was taken away in an unknown direction
Ukraina ve Turkiye qırımtatar halqnıñ aqlarnıñ mudafaa komissiyanı yaratmağa olacaqlar - Çernev,Ukraine and Turkey can establish a commission to protect the rights of Crimean Tatars - Chernev
Dünyadaki qırımtatar ve ukrain diasporaları işğal etilgen Qırımda apsilengen qırımtatarlarnıñ qurtaruvına qoşulalar - Bariyev,"Crimean Tatar and Ukrainian diasporas around the world will be involved in the release of those arrested in occupied Crimea, Bariev says"
Uquq qoruci apislengen qırımtatarlarğa qarşı qullanğan azaplar sheması aqqında malümat berdı,A human rights activist told about the tortures that were applied to the arrested Crimean Tatars
"Rusiye Ukrainanıñ haflı qıyafetini yaratmağa tırışa, bu sebepten oña yañı davalar kerek - Gonçar soñki qırımtatarlarnıñ apisleri aqqında",The RF needs new cases to reinforce the image of Ukraine as a threat to Russia and Crimea among Russians - Gonchar speaks of the latest arrests of Crimean Tatars.
YUŞ FTH ve RF Genştabnı terroristik teşkilâtlarnen tanınğan leyha teklif etildi,A draft resolution on recognizing the FSB and the General Staff of the Russian Federation as terrorist organizations was submitted to the Verkhovna Rada
Korıneviç Donbasta Ukraina territorial bütünligini qorçalağan Qırımdaki askerlerini mukâfatladı,Korynevych awarded Crimean soldiers for protecting the sovereignty and territorial integrity of Ukraine in Donbas
AŞ Qırımnıñ işğali sebebinden RF qarşı sanktsiyalarını devam etmege istey,The EU plans to extend sanctions against Russia for the occupation of Crimea
Büyük Britaniya RF işğal etilgen Qırımda toqtatlığan qırımtatarlarnı azat etmege çağırta,Britain calls on Russia to release Crimean Tatars arrested in occupied Crimea
İşğal “makemesi” toqtatılğan qırımtatarlarını apisledi,The occupation “court” arrested the detained Crimean Tatars
İlk küz aynıñ 3 ve 4 olğan apislerini Qırım platformanıñ neticelerinnen bağlaymız - Çubarov,Those arrests and searches which took place on September 3-4 we also connect with results of the Crimean Platform - Chubarov
Nariman Celâlnıñ alı qanaatlendirici - advokat,The condition of detainee Nariman Dzhelal is satisfactory - a lawyer
Turkiye işğal etilgen Qırımdaki kütleviy apislerını raatsızlanıp nezaret ete,Turkey follows the developments regarding mass arrests in occupied Crimea
“Politsiya” Ahtemovlardan ğayrı episi toqtatılğan qırımtatarlarını azat etti,“Police” released all detained Crimean Tatars except Arsen and Eskender Akhtemov
İşğal etilgen Qırımda ilk küz anıñ 4 toqtatılğan faalerini “politsiyağağa” celp eteler,"Activists detained on September 4 are called to the police to ""meet and talk"""
İşğalciler Qırımda toqtatılğan qırımtatarlarını “diversiyada” qabaatlap maküm etecekler,The occupiers will try Crimean Tatars detained in Crimea for “sabotage”. What threatens them
"Uquq qoruyıcı teşkilâtlar, tevqif etilgen qırımtatarlarnı serbest etmege çağıruvlarnen acele arizasını yaptılar",Human rights organizations have issued an urgent statement calling for the release of detained Crimean Tatars
"İşğal etilgen Qırımda kütleviy tevqifler: AQŞ, Rusiyeden qırımtatarlarnıñ deral azat etilmesini isteyler",Mass Detentions in Occupied Crimea: US Demands Russia to Release Crimean Tatars Immediately
"Çubarov, işğalcılar tarafından qırımtatarlarına basqıdı aqqında tarif etken",Chubarov spoke about the pressure on the detained Crimean Tatars by the occupiers
Qırımda beşinci tevqif etüvi: işğalcılar tintüvlerden soñ Asan Ahtemovnı aldılar,Fifth detention in Crimea: occupiers took Asan Akhtemov after searches
"Ukraina TİN, işğal etilgen Qırımda kütleviy tintüvler ve tevqifler sebebinden qatiy narazılıqnı bildirdi",Ukrainian Foreign Ministry strongly protests mass searches and detentions in occupied Crimea
"Baş prokuror ve UPK başı, işğal etilgen Qırımda ve DLVAR’da imanlılarnıñ aqlarınıñ bozuluvını muzakere ettiler",The Prosecutor General and the head of the PCU discussed violations of the rights of believers in the occupied Crimea and ORDLO
Kün içinde işğal etilgen Qırımda dörtünci tutıp esir etüvi: Kezlevde daa bir qırımtatarını tutıp aldılar,Fourth abduction in a day in the occupied Crimea: another Crimean Tatar detained in Yevpatoria
Aqmescitte tintüvlerden soñ işğalcılarnen tutıp esir etilgen Eldar Odamanovnı endi kün içinde qıdıralar - advokat | YAÑARTILĞAN,"Eldar Odamanov, who was abducted by the occupiers after searches, has been wanted in Simferopol for a day now - lawyer | UPDATED"
Qırımdaki işğalcılar Meclis baş muavinde tintüv keçireler | YAÑARTILĞAN,The occupiers in the Crimea are conducting a search of the Deputy Speaker of the Mejlis UPDATED
İşğal etilgen Qırımda Meclisniñ yasağı sebebinden onıñ dört temsilciliginiñ ve 200’den ziyade azasınıñ aqları bozulğan edi,The ban on the Majlis in the occupied Crimea violated the rights of four of its representatives and more than 200 members
"AB yuqarı  vekili, Ukrainanıñ avropalı istiqbali içün islâatlarnıñ amelge keçirilüviniñ emiyeti aqqında ilân etti",The EU High Representative stated the importance of implementing reforms for Ukraine's European perspective
"Amsterdamnıñ istinaf makemesi, skit altınına dair qararını orta küz aynıñ 26 çıqaracaq - Ceppar",The Amsterdam Court of Appeal will rule on October 26 on Scythian gold - Dhzeppar
“Hizb ut-Tahrir davasında” ekinci aqmescitteki gruppasınıñ figurantı Servet Gaziyevni nevrologiya bölügine alıp keçirdiler,"Serfet Gaziev, a participant in the second Simferopol group in the Hizb ut-Tahrir case, was transferred to the neurology department"
"Zelenskiy, AQŞ’daki bütün körüşüvlerde Qırım mevzusını kötere edi - Küleba",Zelensky raised the topic of Crimea at all meetings in the United States - Kuleb
İşğal etilgen Qırımda insan aqları aqqında BMT maruzalarınıñ eñ yüksek itibar seviyesi bar - uquq qoruyıcı,UN reports on human rights in occupied Crimea have the highest level of relevance and authority - human rights activist
"Kiyevde UTH, “LDHC” ve “rusiye Qırımnı” propaganda etken reklama agentligini tapqan","In Kyiv, the SSU exposed an advertising agency that promoted ""L / DNR"" and ""Russian Crimea"""
"“Rosteh”, işğal etilgen Qırımda tatlılaştırılğan tertibatlarınıñ teşkil etilmesinde KBŞ köçüricilerni qullanmağa istey",Rostech wants to use ODK engines in the creation of desalination plants in the occupied Crimea
"BMT, işğal etilgen Qırımda insan aqlarnıñ bozuluvı  aqqında baş kâtibiniñ beşinci maruzasını yayınlağan",The UN has released the Secretary General's fifth report on human rights violations in the occupied Crimea
Zelenskiyniñ Baydennen körüşüviniñ neticeleri: Qırım ve rusiye tecavuzına tirenüvine dair bildirüvler,Results of Zelensky's meeting with Biden: statements on Crimea and counteraction to Russian aggression
"Meclis, qırım tatarlarnıñ sürgünliginiñ genotsid olaraq tanıması içün başqa ülkelernen çalışa - Çubarov",Mejlis works with other countries to recognize genocide Deportation of Crimean Tatars - Chubarov
İmam Fevziyevni Aqmescitteki qarardan ziyade tolu olğan taqiqat tevqifhanesine ruh bozğunlığınen insanen yerleştirdiler,Imam Fevziev was placed in a crowded pre-trial detention center in Simferopol with a man with a mental disorder
"UTH qarşı casuslıq, 2014 senesi RF’ğa Qırımnı zapt etmege yardım etken cenkçini tutıp alğan",SSU counterintelligence detained the fighter who actively helped the Russian Federation to occupy the Crimea in 2014
AQŞ Mudafaa naziri Zeyenskiyge Ukrainanen mudafaa munasebetlerini quvetleştirmege söz bergen,The US Secretary of Defense promised Zelensky to strengthen defense relations with Ukraine
"RF, halqara uquqnı bozıp Qara ve Azaq deñizlerde gemi areket etüvini muasara etmege devam ete - Kent",Russia continues to block shipping in the Black and Azov Seas in violation of international law - Kent
"İşğalcılar, oraq ay içinde çağıruvdan qaçınuvı sebebinden qırımlılarğa qarşı 14 yañı cinaiy davasını açtılar","In July, the occupiers opened 14 new criminal cases against Crimeans for evading conscription"
"Zelenskiy, AQŞ’ğa Baydenge Kremlniñ mabuslar, esir alınğan ve habersiz ğayip olğanlarnıñ cedvelini alıp ketirecek - Denisova","Zelensky to take Biden to US list of Kremlin prisoners, prisoners and missing - Denisov"
"Siyasiy mabusı Gennadiy Limeşkonı RF’da onıñ iradesine qarşı COVID-19’dan aşılağanlar, onıñ alı fenalaşqan","Political prisoner Gennady Limeshko in Russia was vaccinated against COVID-19 against his will, his condition deteriorated sharply"
"AQŞ AAQ uçağı, işğal etilgen Qırımnıñ yalısını qaçıncı sefer devriye kezgen edi",The US Air Force plane once again patrolled the coast of the occupied Crimea
Kiyevde işğal etilgen Qırımda tecavuziy ğayip etüvlerniñ qurbanlarına bağışlanılğan sergisini taqdim ettiler,An exhibition dedicated to the victims of enforced disappearances in the occupied Crimea was presented in Kyiv
"İşğal etilgen Qırımnen memuriy sıñırında ""Qırım - Ukrainadır"" yazısınen yürek şeklinde ukrain iradesi ve yıqılmamazlığınıñ granit timsali peyda oldı","A granite symbol of Ukrainian will and invincibility in the shape of a heart with the inscription ""Crimea is Ukraine"" appeared on the administrative border with the occupied Crimea"
İçtimaiy ağlarda RF’dan para içün Qırım platformasına qarşı RF’dan 15 biñ bot sahte malümatnı tarqata edi - FTH,Against the Crimean platform for money from the Russian Federation spread misinformation in social networks of 15 thousand bots - SSU
İşğal etilgen Qırım ve Aqyarda 496  kişi koronavirusqa oğradı,"In the Autonomous Republic of Crimea and Sevastopol, the occupiers record 496 new cases of COVID-19"
UDK prezidenti Kongresnin “Qırım platformada” iştirağı aqqında malümat berdi,UWC President Talks on Congress Participation in the Crimean Platform
PO yanında “ Kreml mabuslernıñ yaşayışları oyuncaq degil” adlı çıqış keçti,Rally-performance “Life of Kremlin hostages - are not toys” took place near OP
Ukraina TİN işğal etilgen Qırımda zorbalıqnen ğayp olğan insanlarğa bağışlanğan sergini taqdim etecek ,The Ministry of Foreign Affairs of Ukraine presents an exhibition dedicated to the victims of enforced disappearances in occupied Crimea
İşğal etilgen Qırım ve Aqyarda 506  kişi koronavirusqa oğradı,"In Crimea and Sevastopol, the occupiers record 506 new cases of COVID-19"
Donbasta quvetçiler Avdiivkağa ateş açtılar,"In Donbas, militants shelled Avdiivka"
"Gecesi, işğal etilgen Yaltada, çoqqatlı evde yanğın qayd etildi, yaşağan insanlarını tahliye ettiler",Fire breaks out at a multi-storey building in occupied Yalta    
Baar-yaz devamında RF işğal etilgen Qırımda öz asker uyuşmasını çoqlaştırdı,"During the spring and summer, Russia increased its military contingent in occupied Crimea"
ABŞ yelçihanesinde Vaşingtondaki Bayden ve Zelenskiy körüşüvinden ne beklene seslendirdiler,The US embassy speaks about Washington's expectations from Zelensky- Biden meeting
Ukraina qırımtatar medeniy mirasnıñ saqlamasına 10 mln grn yatırım etecek,Ukraine invests UAH 10 million in the preservation of the Crimean Tatar cultural heritage 
RF işğal etilgen Qırımda özek silâlarnıñ potentsial menbalarını yerleştirdi,Russia deploys potential nuclear weapons in occupied Crimea
Qırım platforması - qırım yönelişte Rusiyenıñ büyük mağlübiyetı - Küleba,The Crimean platform is Russia's great defeat in the Crimean direction - Kuleba
Qırımda işğalciler birinci kere yazda gripp hastalanma adiselerini qayd ettiler ,Occupiers report flu cases in Crimea
Mebusler işğal etilgen Qırımnıñ memuriy sınırı boyu “Tınçlıq alleyasını” ektiler,Deputies planted the Alley of Peace near the administrative border with occupied Crimea 
KÇNN tış vekiller bayraqlarını imzaladılar. Olarnı Qırım deokkupatsiya müzeyine yollacaqlar,"At the Kalanchak checkpoint, foreign delegates signed flags, which will be handed over to the museum after the de-occupation of Crimea."
Beş devlet Ukrainada RF tesirine qarşılıq etken fondnı yaratmağa azırlıqları aqqında beyan ettiler,Five countries announce the creation of a fund to counter Russia's influence in Ukraine
Avstriya TİN başı Lavrovnıñ işğal etilgen Qırımnı ziyaret etmege davetine cevap etti,Austrian FM Schallenberg responded to Lavrov’s invitation to visit occupied Crimea.
Ukrainada VİT sınır rejimnıñ qaydelerini deniştirdiler,Ukraine changes the rules of the border regime with the TOT
Rusiye taqıqat komiteti Ukrainanıñ işğal etilgen qırımğa suv berüvnıñ yasağı sebebinden cinayet davanı açtı,Russia's Investigative Committee opens a criminal case over Ukraine's refusal to supply water to occupied Crimea
RF ayrı devletlerini Qırım platformada iştiraqları sebebinden neticelernen qorquza,Russia warns of consequences for participating in the Crimean Platform.
RF işğal etilgen Qırımda yañı desant-ucum polknı teşkil eticek,Russia will form a new assault regiment in occupied Crimea.
Zelenskiy Avropa şuranıñ başı ile “Qırım platformanıñ” kelecek adimlerini ve Qırımnıñ qaytaruvını muzakere etti,Zelensky discusses further steps on the Crimean Platform and the return of Crimea with the President of the European Council
Qırım platforma sammitnin iştiraqçilarına devlet mukâfatlarını berdiler,Participants of the Crimean Platform summit received state awards
ABŞ Devlet parlamenti Qırım köpüri sebebinden RF cezalamağa çağırttı,The US State Department states the need to punish Russia for the Crimean bridge
Kiyevde Qırım platformanıñ ofisini açtılar,Crimean Platform Office opened in Kyiv.
Qırım Platformanıñ iştiraqçiları beyannamenı imzaladılar. Belli malümatlar,Participants of the Crimean platform sign a declaration. What it implies.
Qırımnıñ işğali sebebinden Ukraina 100 mlrd dollardan çoq coyğan - Şmigal,"Due to the occupation of Crimea, Ukraine lost about $100 billion - Shmygal says"
"Zelenskiy beyan etti ki, “Qırım platfoma” ofisleri başqa ülkelerde de areket etecekler",Zelensky states that the offices of the Crimean Platform will operate in other countries
Ukraina Turkiyeni 100 qırımtatar mabusını rus esirlikten qurtarmağa rica ete,Ukraine asks Turkey to help free over 100 Crimean Tatars from Russian captivity
"Estoniya prezidenti ve Çehiya senatınıñ spikeri ""Çonğar"" KÇNN ziyaret ettiler","The President of Estonia and the Speaker of the Senate of the Czech Republic visited border checkpoint ""Chongar"""
"Litvaniyanıñ işğal etilgen Qırımda çıqışta bulunğan sanatkârlarnıñ ""qara cedveli"" bar - Nauseda","Lithuania has a ""black list"" of artists who performed in the occupied Crimea - Nauseda"
"TİN’de ""Qırım platformasınıñ"" esas maqsadanı aytıllar",
Bugün Kiyevge Estoniya prezidenti Kersti Kalyülayd kele,Estonian President Kersti Kaljulaid arrives in Kyiv today
Qırımda ve Aqyarda işğalcılar koronavirusnıñ 587 yañı vaqianı qayd ettiler,"In the Autonomous Republic of Crimea and Sevastopol, the occupiers recorded 587 new cases of COVID-19"
"NATO’nıñ soñki ülkesi, “Qırım platformasına” qoşulğan ",
"Avropa şurasınıñ prezidenti Şarl Mişel, ""Qırım platformasınıñ"" sammitinde iştirak etecek ",European Council President Charles Michel to take part in Crimean Platform summit
“Qırım platforması” sammitiniñ iştirakçıları Ukrainağa kelmege başladılar,Participants of the Crimean Platform summit began arriving in Ukraine
"Ülkelerden biri, RF basqısı sebebinden “Qırım platformasında” iştirağından vazgeçti - Danilov","One country refused to participate in the ""Crimean platform"" due to pressure from Russia - Danilov"
"AQŞ, Qırım platformasında öz vekilini deñiştirdiler",The United States changed its representative at the Crimean Platform summit
"Rusiye, Ukrainağa qarşı sanktsiyalarnı keñleştirgen: cedvelge Küleba, Danilov ve Denisova oğradılar","Russia has expanded sanctions against Ukraine: Kuleb, Danilov and Denisov have been added to the list"
"Ukrainlerniñ 60% ziyadesi, işğal etilgen Qırım, Ukraina terkibine qaytmaq kerek olğanını dep tüşüne - sorav",More than 60% of Ukrainians believe that the occupied Crimea should return to Ukraine - poll
"Ukraina, işğal etilgen Qırımda RF’nıñ areketleri sebebinden yañı sanktsiyalarnı azırlay",Ukraine is preparing new sanctions due to Russia's actions in the occupied Crimea
"İşğal etilgen Qırımdan siyasiy mabuslar, ATO \ BQA iştirakçılar ve faallerniñ balalarını Türkiyege raatlıq içün yiberdiler ","Children of political prisoners from the occupied Crimea, participants of anti-terrorist operation / environmental protection and activists were sent on vacation to Turkey"
"Kiyevde ""Silence is the Sound of Fear - Qırımdaki vaziyetiniñ ve onıñ sakinleriniñ er künlik ayatınıñ fotoperspektivası” foto kitabınıñ taqdim etüvi olıp keçti","The presentation of the photo book ""Silence is the Sound of Fear - Photo perspective of the situation in Crimea and everyday life of its inhabitants"" took place in Kyiv"
"Küleba, “Qırım platformasınıñ” iştirakçılarınıñ bütün terkibini adladı",Representatives of 44 countries and organizations will take part in the Crimean Platform summit to be held in Kyiv on August 23 in the Parkovy conference hall.
"Romaniya, Qırım platformasınıñ sammitinde öz iştirağını tasdıq etken",Romania has confirmed its participation in the Crimean Platform summit
"Ukraina, Berdânskta arbiy-deñiz bazasınıñ qurucılığını başlaycaq - Zelenskiy",Ukraine will begin construction of a naval base in Berdyansk - Zelensky
Kiyevde “Skit altını” sergisini taqdim ettiler ,Scythian Gold Exhibition Presented in Kyiv
"AB, 4 qırımtatarına makeme ükümlarını qanunsız dep saya",The EU considers illegal the court verdicts of 4 Crimean Tatars
"Razumkov, Şuranıñ nevbetten tış olğan sessiyasınıñ çağıruvı aqqında emirini imzalağan",Razumkov signed an order convening an extraordinary session of the Council
"AQŞ elçiligi, Aluştadaki “Hizb ut-Tahrir” gruppasınıñ davasında işğalcılarnen dört qırım tatarına çıqarılğan ükümini mahküm etti",The US Embassy condemned the sentencing of four Crimean Tatars in the case of the Alushta group Hizb ut-Tahrir
"QMC prokuraturası, HCM’ne işğal etilgen Qırımdan mabuslarnıñ qanunsız avuşuvınıñ isbatlavlarını yollağan",ARC Prosecutor's Office Sends Evidence to Illegal Transfer of Prisoners from Occupied Crimea to ISS
"Küleba, Ukraina ""Qırım platformasında"" RF’nen ne aqqında laf etmege azır olğanını tarif etti",
Ğarq etüvinden soñ Keriç astında büyük bir çuqurı peyda olğan,"After the flood near Kerch, a huge funnel formed"
Qırımatatarlarnıñ tintüvlerden soñ 5-ten 3-ne tevqiflerni tayin ettiler ,The 3 out of 5 detainees after searches of Crimean Tatars ordered arrests
"“Yol” adlı medeniy-sanaiy leyhası, endi bu ayda başlanacaq","The cultural and artistic project ""Way"" will start this month"
"Rusiye, Aluştadaki “Hizb ut-Tahrir” gruppasınıñ davasında qanunsız tarzda mahküm etilgenlerini serbset etmek kerek - Britaniya elçisi ",Russia to release illegally convicted Hizb ut-Tahrir group - British ambassador
"TİN, işğal etilgen Qırımdaki tintüvlerni Qırım platforması ögüne qızıştıruvı dep saya",
"Zelenskiy, dünyanı işğal etilgen Qırımdaki tintüvler ve tevqiflerine cevap bermege çağıra",Zelensky calls on the world to respond to searches and detentions in the occupied Crimea
Yaltadaki “İyegova şaatları” merkeziniñ teşkilâtçısı tutıp alınğan,"The organizer of the ""Jehovah's Witnesses"" cell in Yalta was detained"
"İşğal etilgen Qırımda saba erte tintüvler keçti, 5 qırım tatarını tutıp aldılar","In the occupied Crimea at dawn searches took place, 5 Crimean Tatars were detained"
"Makeme, advokat Polozovnı ""Refat Çubarov davasından"" çıqarğan","The court suspended Polozov's lawyer from the ""Refat Chubarov case"""
Qırım sakinini içtimaiy ağlarda Rusiyeni tenqit etüvi içün şartlı olaraq eki yılğa mahküm ettiler ,The Crimean was sentenced to two years probation for criticizing Russia on social media
"İşğalcılar, kögerte aviatsiyasınıñ idmanlarını başladılar",The occupiers began training deck aircraft
Türkiyedeki ava qazasında Qırımdan rusiye pilotı elâk oldı,A Russian pilot from the Crimea was killed in a plane crash in Turkey
"Rusiye makemesi, cezahanege dört qırımtatarını yollağan. Olar 12-den 18 yılğa qadar müddetlerni alğanlar",A Russian court sent four Crimean Tatars to a penal colony. They received terms from 12 to 18 years
İşğal etilgen Qırımda “Hizb ut-Tahrir” davasındaki Aluşta gruppasınıñ” qorumasına onlayn-fleşmobı başlanılğan,An online flashmob in defense of the Alushta Group in the Hizb ut-Tahrir case has started in the occupied Crimea
İşğal etilgen Qırımda Keriçni kene de suvnı bastı ,Kerch was flooded again in the occupied Crimea
Zelenskiy QMC prezident vekilâyetnıñ hadimler sayısını 45 insanğace çoqlaştırdı,Zelensky increased the maximum number of employees of the presidential office in the ARC to 45 people
“Çaplınka” KÇNN ilân etilgen vaqıtında açılmacaq,The Chaplynka checkpoint will not open at the announced time
İşğal etilgen Qırımda RF SQ hızmet etmege red etken adamlarğa qarşı açılğan davalırnıñ sayısı çoqlaştı - QUT ,"In occupied Crimea, the number of criminal cases for evasion of service in the Armed Forces of the Russian Federation increased by one-third"
