crh_Cyrl,eng
"О, мал-мулькюни джебине ерлештирди ве къабар бермек фикиринден вазгечти, огъланчыкълардан ич бириси онынъ бу малына къызмаз.",He put his things into his pocket and rejected the idea of bribing the boys.
Ве мына шу къара саниелер ичинде Томнынъ башына ильхам периси къонды!,At this dark and hopeless moment an inspiration burst upon him!
"Эбет, эбет, ильхам периси – энъ аздан аджайип, гениаль фикир!","Nothing less than a great, magnificent inspiration."
"О, элине фырчысыны алып, ишини девам эттирди.",He took up his brush and went tranquilly to work.
"Мына, узакъта Бен Роджерс корюнди.",Ben Rogers hove in sight presently.
Том энъ зияде онынъ къылынувларындан къоркъа эди.,"The very boy, of all boys, whose ridicule he had been dreading."
"Бен адымламай, аксине атлап-атлап кельмекте эди. Онынъ кейфи еринде эди.",Ben's gait was the hop-skip-and-jump—proof enough that his heart was light and his anticipations high.
"О, алма ашай ве кяде бир сызгъырып ала, алдыгъы ашагъы ноталардан анълашылгъанына коре о, гемининъ дудюгине такълид эте эди: «дин-дон-дон; дин-дон-дон».","He was eating an apple, and giving a long, melodious whoop, at intervals, followed by a deep-toned ding-dong-dong, ding-dong-dong, for he was personating a steamboat."
"Якъынджа кельген сонъ о, сурьатыны эксильтти, сокъакънынъ ортасында турды, ашыкъмайып, мукъайтлыкънен, докъуз фут сувда тургъан «Буюк Миссури» гемиси киби айланмагъа башлады.","As he drew near, he slackened speed, took the middle of the street, leaned far over to starboard and rounded to ponderously and with laborious pomp and circumstance—for he was personating the Big Missouri, and considered himself to be drawing nine feet of water."
"О, шимди эм геми, эм капитан, эм де сигнал берген чанъ эди. О, санки капитаннынъ еринде тура, эмир бере, ве озь эмирлерини озю эда эте эди.","He was boat and captain and engine-bells combined, so he had to imagine himself standing on his own hurricane-deck giving the orders and executing them:"
"– Токъта, машина, сэр!","""Stop her, sir!"
Динь-дилинь-динь!,Ting-a-ling-ling!
"Геми яваштан четке чекиле, къалдырымгъа якъынлаша.","The headway ran almost out, and he drew up slowly toward the sidewalk."
– Арткъа чек!,"""Ship up to back!"
Дилинь-дилинь-динь!,"Ting-a-ling-ling!"""
Эки элини узатты ве белине кетирди.,His arms straightened and stiffened down his sides.
– Арткъа чек! Дюменни сагъгъа бур!,"""Set her back on the stabboard!"
Дилинь-динь!,Ting-a-ling-ling!
Чшш-чшш-чшш!,Chow-chow-wow!
"Сагъ къолу буюк-буюк даирелерни чыза, чюнки онынъ бу къолу Къыркъ футлы копчекнинъ вазифесини эда эте."," His right hand, mean-time, describing stately circles—for it was representing a forty-foot wheel."
– Когертенинъ солуны тут! Дюменни солгъа бур!,"""Let her go back on the labboard!"
Дилинь-динь-динь!,Ting-a-ling-ling!
Чшш-чшш-чшш!,"Chow-ch-chow-chow!"""
Энди онынъ сол къолу айны шу даирелерни чызып башлады., The left hand began to describe circles.
"– Токъта, сагъ когерте!","""Stop the stabboard!"
"Токъта, сол когерте!",Stop the labboard!
Илериге ве сагъгъа!,Come ahead on the stabboard!
Токъта!,Stop!
Сакин айда!,Let your outside turn over slow!
Динь-дилинь!,Ting-a-lingling!
Чуу-чуу-у!,Chow-owow!
Бир уджуны ташла!,Get out that head-line!
"Тездже къыбырда! Эй, саильде тургъанлар! Не бакъып турасынъыз? Сыджымны ал! Бурун швартовкасы! Алкъаны багъанагъа кечир! Арт швартовкасы! Энди йибер!","LIVELY now!Come—out with your spring-line— what're you about there!Take a turn round that stump with the bight of it! Stand by that stage, now—let her go!"
"Машина токътады, сэр!","Done with the engines, sir!"
Шт!Шт!Шт!(Машина бувларыны чыкъара).,"SH'T!S'H'T! SH'T!"" (trying the gauge-cocks)."
"Том гемиге бакъмайып, ишини эп девам эте.",Tom went on whitewashing—paid no attention to the steamboat.
Бен онъа бакъып къалды ве бир дакъкъадан сонъ:,Ben stared a moment and then said:
– Аха!,"""Hi-YI!"
Къолгъа тюштинъми? – деди.,"YOU'RE up a stump, ain't you!"""
Том джевап къайтармады.,No answer.
"Аксине бир рессам киби, фырчысынынъ къалдыргъан сонъки изини дикъкъатнен сейир этти, сонъра яваштан фырчысыны кене исарнынъ тахтасында кездирди, сонъра арткъа чекильди – япкъан ишинден мемнюн адам киби бакъып турды.","Tom surveyed his last touch with the eye of an artist, then he gave his brush another gentle sweep and surveyed the result, as before."
Бен онынъ янына келип турды.,Ben ranged up alongside of him.
"Къолундаки алманы корьген Томнынъ силекийлери акъты, лякин кене де, ич бир шей олмагъан киби ишини исрарлыкънен девам эттирди.","Tom's mouth watered for the apple, but he stuck to his work."
Бен:,Ben said:
"– Эй, къардаш, кене чалыштыралармы сени? – деди.","""Hello, old chap, you got to work, hey?"""
Том бирден онъа айланып бакъты:,Tom wheeled suddenly and said:
"– А, сенсинъми, Бен!","""Why, it's you, Ben!"
Сени корьмегеним.,"I warn't noticing."""
"– Билесинъми, мен шимди ювунмагъа… эбет, ювунмагъа кетем!","""Say—I'm going in a-swimming, I am."
"Сен де ювунмакъ истейдирсинъ, э?",Don't you wish you could?
"Санъа исе мумкюн дегиль, чалышмакъ керексинъ.",But of course you'd druther WORK—wouldn't you?
"Эбет, эм де насыл чалышмакъ керексинъ!","Course you would!"""
Том онынъ бетине тикилип бакъты да:,"Tom contemplated the boy a bit, and said:"
– Сен нени иш деп саясынъ? – деп сорады.,"""What do you call work?"""
– Я не бу иш дегильми?,"""Why, ain't THAT work?"""
"Том исарны сыламакъны девам этириркен, джевап къайтарды:","Tom resumed his whitewashing, and answered carelessly:"
"– Бельки бу иштир, бельки де ёкъ.","""Well, maybe it is, and maybe it ain't."
Мен тек бир шейни билем: бу иш Том Сойернинъ гонълюне ята.,"All I know, is, it suits Tom Sawyer."""
"– Айтмаса? Бу иш сенинъ ичюн хош бир эглендже, демек истейсинъми?","""Oh come, now, you don't mean to let on that you LIKE it?"""
Фырчы исар узеринде эп кезмекте.,The brush continued to move.
– Хош эглендже дейсинъми? Не ичюн бу эглендже хош олмасын?,"""Like it? Well, I don't see why I oughtn't to like it."
Огълан балаларгъа исар сыламакъ эр кунь къысмет этеми?,"Does a boy get a chance to whitewash a fence every day?"""
Меселенинъ янъы джеэти ачылды.,That put the thing in a new light.
Бен алма кемирмесини токътатты.,Ben stopped nibbling his apple.
"Том рессамнынъ ихтирасынен фырчысыны арткъа-огге кездире, бир къач адым арткъа чекиле, сонъра кене исаргъа якъынлаша, бир къач штрих къоша ве япкъан ишини тенкъидий козьнен бир даа бакъып чыкъа, Бен исе онынъ эр бир арекетини козете, Томнынъ иши оны да озюне чеке.","Tom swept his brush daintily back and forth—stepped back to note the effect—added a touch here and there—criticised the effect again—Ben watching every move and getting more and more interested, more and more absorbed."
Ниает:,He said:
"– Билесинъми, Том, берсе, мен де бираз сылайым! – деди.","""Say, Tom, let ME whitewash a little."""
"Том тюшюнджеге далды ве разы оладжакъдай олды, лякин сонъки дакъкъасында:","Tom considered, was about to consent; but he altered his mind:"
"– Ёкъ, ёкъ, Бен… Бундан бир шей чыкъмаз.","""No—no—I reckon it wouldn't hardly do, Ben."
"Билесинъми, Полли тизе мынавы исар меселесинде пек титизлик япа, чюнки исар сокъакъкъа бакъа. Исарнынъ азбар ичине узанып кеткен тарафы олгъан олса санъа разылыкъ берир эдим.","You see, Aunt Polly's awful particular about this fence—right here on the street, you know—but if it was the back fence I wouldn't mind and SHE wouldn't."
"Лякин исарнынъ сокъакъкъа бакъкъан тарафына кельгенде – о, меселеге пек джиддий бакъа – буюк бир мукъайтлыкънен сыламакъ керек. Бинъ дане… атта эки бинъ дане огълан баладан кереги киби сылай биледжек бир бала тапылмаз.","Yes, she's awful particular about this fence; it's got to be done very careful; I reckon there ain't one boy in a thousand, maybe two thousand, that can do it the way it's got to be done."""
– Айтмаса?,"""No—is that so?"
"Исар сыламакъ бу къадар джиддий бир иштир, деп беллемеген эдим.","Oh come, now—lemme just try."
"Мен сенинъ еринъде олгъан олсам, бир сание биле тюшюнип отурмаз эдим. Э, Том?","Only just a little—I'd let YOU, if you was me, Tom."""
"– Бен, сёзюм сёздир, фырчыны санъа къувана-къувана берир эдим, лякин Полли тизе… Мына, демин Джим да сыламакъ истеди, лякин Полли тизе онъа бу ишни ишанмады. Сид де сыламакъ истеди – онъа да изин бермеди.","""Ben, I'd like to, honest injun; but Aunt Polly—well, Jim wanted to do it, but she wouldn't let him; Sid wanted to do it, and she wouldn't let Sid."
Санъа бу ишни ишанып оламагъанымны энди анълагъандырсынъ?,Now don't you see how I'm fixed?
"— сен сыламагъа башласанъ, барып да бир де-бир шей чыкъып къалса…","If you was to tackle this fence and anything was to happen to it—"""
– Олмайджакъ шей! Мен сенден ярамай сыламам.,"""Oh, shucks, I'll be just as careful."
Мен тек сылап бакъмакъ кереким.,Now lemme try.
"Билесинъми, не: мен санъа мынавы алмамнынъ ортасыны беририм.","Say—I'll give you the core of my apple."""
– Яхшы!,"""Well!"
"Ёкъ, ёкъ.","Here—No, Ben, now don't."
"Бен, энъ яхшысы керекмей… мен къоркъам…","I'm afraid"""
– Мен санъа алманынъ эпсини беририм – къалгъан алмамнынъ эписини беририм.,"""I'll give you ALL of it!"""
"Том истер-истемез, фырчыны онъа туттырды амма къальби гизлиден къувана эди.","Tom gave up the brush with reluctance in his face, but alacrity in his heart."
"Сабыкъ «Буюк Миссури» гемиси куннинъ сыджагъында терлеп-пишип чалышыр экен, истифагъа чыкъкъан рессам онынъ янында, кольгеде янбашлап ята, аякъларыны саллай, алма кемире ве башкъа мына бойле саде балаларгъа тузакълар эшип ята эди.","And while the late steamer Big Missouri worked and sweated in the sun, the retired artist sat on a barrel in the shade close by, dangled his legs, munched his apple, and planned the slaughter of more innocents."
Саде огълан балаларны тапмакъ къыйын иш дегиль: огълан балачыкълар Томны эриштирмек ичюн исар янына келелер ве исар сыламагъа башлайлар.,"There was no lack of material; boys happened along every little while; they came to jeer, but remained to whitewash."
"Бен такъаттан кесильгенине, Том исарнынъ экинджи невбетини Билли Фишерге янъы ясалгъан кягъыт йылан ерине сатты; Фишер ёрулгъанда онынъ ерини Джонни Миллер алды исар сыламакъ акъкъы ерине айландырмакъ къолай олсун деп узун йипке багълы олю сычавулны берди.","By the time Ben was fagged out, Tom had traded the next chance to Billy Fisher for a kite, in good repair; and when he played out, Johnny Miller bought in for a dead rat and a string to swing it with—and so on, and so on, hour after hour."
"Саат артындан саат кечти, иш къызгъын-къызгъын эп девам этти. Уйлеге таба заваллы фукъаре огъланчыкъ Том зенгинликлер ичинде комюлип кеткен байгъа чевирильди.","And when the middle of the afternoon came, from being a poor poverty-stricken boy in the morning, Tom was literally rolling in wealth."
"Биз шимди сайып кечкен шейлерден гъайры Том алебастрдан ясалгъан он эки шарик, дудакъларнен чалынгъа «дудюк» парчасынынъ, кунешке бакъмакъ ичюн мавы шише къырыгъынынъ, макъарадан ясалгъан топнынъ, ич бир килитни ачмагъа истемеген анахтарнынъ, бор парчасынынъ графиннинъ джам къапагъынынъ, къалай аскерчикнинъ, эки дане бакъа баласынынъ, алты хлопушканынъ, бир козьлю мышычыкънынъ, бакъырдан ишленген къапы къоллугъынынъ, копек олмаса да копек багълагъан зынджыр парчасынынъ, пичакъ сапынынъ, дёрт парча портакъал къабугъынынъ, къырылгъан пенджере первазынынъ саиби олды.","He had besides the things before mentioned, twelve marbles, part of a jews-harp, a piece of blue bottle-glass to look through, a spool cannon, a key that wouldn't unlock anything, a fragment of chalk, a glass stopper of a decanter, a tin soldier, a couple of tadpoles, six firecrackers, a kitten with only one eye, a brass door-knob, a dog-collar—but no dog—the handle of a knife, four pieces of orange-peel, and a dilapidated old window sash."
"Том вакътыны балабан компания арасында, ич бир шей япмайып пек хош ве шенъ кечирди, исар исе учь къат сыланды!","He had had a nice, good, idle time all the while—plenty of company—and the fence had three coats of whitewash on it!"
"Эгер киречи битмеген олса, шеэрдеки огълан балаларнынъ астыны тюшюрир эди.",If he hadn't run out of whitewash he would have bankrupted every boy in the village.
Том озь озюне: асылында яшайыш о къадарлыкъ бош ве аджыныкълы дегиль деди.,"Tom said to himself that it was not such a hollow world, after all."
"Озю даа бильмей турып, адамларнынъ арекетлерини идаре этмеге ярдым эткен улу бир къанун кешф этти: уйкен адам я да огълан бала бир де-бир шейге саип чыкъмагъа пек истесе, айны шей онъа къолайлыкънен берильмемели.","He had discovered a great law of human action, without knowing it—namely, that in order to make a man or a boy covet a thing, it is only necessary to make the thing difficult to attain."
"Эгер де о мынавы китапнынъ муэллифи киби улу ферасет саиби олгъан олса, о анълар эди ки, бизлер иш япмагъа меджбурмыз, оюн исе ойле бир шей ки, бизлер онъа алданмамалымыз.","If he had been a great and wise philosopher, like the writer of this book, he would now have comprehended that Work consists of whatever a body is OBLIGED to do, and that Play consists of whatever a body is not obliged to do."
"Ве бу шей онъа не ичюн кягъыттан чечеклер ясамакъ, я да, меселя, дегирмен айландырмакъ – иш, кегль урмакъ ве Монблангъа котерильмек – зевкъ олгъаныны анъламагъа ярдым этер эди.","And this would help him to understand why constructing artificial flowers or performing on a tread-mill is work, while rolling ten-pins or climbing Mont Blanc is only amusement."
"Ингильтереде зенгин джентельменлернинъ базылары дёрт ат екильген омнибусны идаре этелер, йигирми-отуз миль басып кечелер, эгер мына шу алидженап мешгъулиет оларгъа баягъы парагъа мал ола; лякин оларгъа айны шу, деерлик къолай олмагъан, эмеклери ичюн айны шу параны тёлеген олсалар, бу энди олар ичюн эглендже дегиль де, иш сайылыр. Олар шу ань бойле иштен вазгечер эдилер.","There are wealthy gentlemen in England who drive fourhorse passenger-coaches twenty or thirty miles on a daily line, in the summer, because the privilege costs them considerable money; but if they were offered wages for the service, that would turn it into work and then they would resign."
Хайли вакъыткъадже Том еринден къыбырдамады; аятында юз берген салмакълы денъишмелер узеринде тюшюнмекте эди. Сонъра адымларыны баш штабгъа – иш биткени акъкъында рапорт бермек ичюн догърултты.,"The boy mused awhile over the substantial change which had taken place in his worldly circumstances, and then wended toward headquarters to report."
 Учюнджи баб, CHAPTER III
"Том эвге къайтып кельгенде Полли апте эм ятакъ одасы, эм мусафир одасы, эм ашхане, эм кабинет вазифесини беджерген арттаки шырныкълы оданынъ ачыкъ пенджереси янында отура.","TOM presented himself before Aunt Polly, who was sitting by an open window in a pleasant rearward apartment, which was bedroom, breakfast-room, diningroom, and library, combined."
" Кейфинъе кейф къошкъан яз авасы, сукюнет, чечеклернинъ къокъулары ве балкъуртларнынъ выз-выз учмасы онъа тесир эткени корюнип тура: орьгюси узеринде бурнуны саркъыткъан, юкъусырай, онынъ екяне субетдеши олгъан мышыкъ биле онынъ тизлери устюнде юкъусырай эди.","The balmy summer air, the restful quiet, the odor of the flowers, and the drowsing murmur of the bees had had their effect, and she was nodding over her knitting—for she had no company but the cat, and it was asleep in her lap."
"Телюкесизликке риает этип, Полли апте козьлюклерини башыны тёпесине кечирген.",Her spectacles were propped up on her gray head for safety.
"Том, эльбетте, чокътан къачып кеткенине эмин олгъан Полли апте Томны корип шашты: къатты джеза алмакъ ичюн бу къадар джесарет онъа къайдан кельди!","She had thought that of course Tom had deserted long ago, and she wondered at seeing him place himself in her power again in this intrepid way."
Том ичериге кирди ве:, He came in and said:
"– Энди исе, тизе, ойнамагъа кетмек мумкюнми? – деп сорады.","""Mayn't I go and play now, aunt?"""
– Айтылгъан ишни яптынъмы? Битирдинъми?, Have you already done what I said?
Не къадар япып етиштирдинъ?,"How much have you done?"""
"– Эписини, тизе!","""It's all done, aunt."""
"– Том, ялан айтма.Мен ялан севмейим.","""Tom, don't lie to me—I can't bear it."""
"– Ялан айтмайым, тизе.","""I ain't, aunt;"
Эр шей азыр.,"it IS all done."""
Полли апте онъа инанмады., Aunt Polly didn't trust him.
"Томнынъ япкъан ишини озь козьлеринен барып корьмек истеди. Эгер де Томнынъ сёзлерининъ энъ олмагъанда йигирми файызы акъикъат олгъан олса, о пек къуванаджакъ эди.",She went out to see for herself; and she would have been content to find twenty per cent of Tom's statement true.
"Лякин о, исар яхшы этип сылангъаныны, ве тек сылангъан дегиль де, бир къач къат киречнен орьтюльгени, ве атта исар бойлап ерде беяз ёлакъ къалдырылгъаныны корип пек тааджипленди.","When she found the entire fence white-washed, and not only whitewashed but elaborately coated and recoated, and even a streak added to the ground, her astonishment was almost unspeakable."
"– Билесинъми, не, – деди о, бойле олур деп ич де тюшюнмеген эдим.","She said: ""Well, I never!"
"Адалетли олмакъ кереким, Том, эгер истесенъ, сен чалышмагъа биле экенсинъ.","There's no getting round it, you can work when you're a mind to, Tom."
" – Бу ерде о, макътавыны эксильтмек керек олгъаныны анълады ве:",""" And then she diluted the compliment by adding,"
 – Лякин сен чалышмагъа сийрек-сепелек истейсинъ. Буны да айтмакъ кереким.," ""But it's powerful seldom you're a mind to, I'm bound to say."
"Айды, бар ойна.Ве бу афтанынъ ичинде эвге къайтып кельмеге унутма. Насыл джезалайджагъымны билесинъ! – деп къошты.","Well, go 'long and play; but mind you get back some time in a week, or I'll tan you."""
"Полли апте Томнынъ мезкюр улу джесюрлигине о къадар къуванды ки, оны магъазгъа алып кирди ве энъ яхшы алмалардан бириси къолуна туттырды.",She was so overcome by the splendor of his achievement that she took him into the closet and selected a choice apple and delivered it to him.
"Бахшышны бериркен, алидженап, сафдиль эмекнен тапылгъан эр анги шей эр даим татлы ве гонъюльге хош олып корюнир, деп тенбиелемекни де унутмады.",Along with an improving lecture upon the added value and flavor a treat took to itself when it came without sin through virtuous effort.
Айны шу дакъкъасы Полли апте Инджильден келиши-гузель алынгъан сёзлернен озь нуткъыны битиреяткъанда Том бир дане пряник айындырып етиштирди.,"And while she closed with a happy Scriptural flourish, he ""hooked"" a doughnut."
"О, азбаргъа чапып чыкъты ве Сидни расткетирди. Сид энди-энди мердивенден котерильмекте эди. Мердивен эвнинъ тышындан ерлешкен олып, онынъ экинджи къаттаки арт одаларгъа кирмек мумкюн эди.","Then he skipped out, and saw Sidjust starting up the outside stairway that led to the back rooms on the second floor."
Томнынъ къолуна йымшакъ топракъ томарлары илишти ве бир аньде авада топракъ томарлары учушып башлады. Олар Сиднинъ устюне шиддетли сель киби ягъмагъа башладылар.,Clods were handy and the air was full of them in a twinkling.They raged around Sid like a hail-storm;
"Полли апте озюне келип, Сидни къуртармакъ ичюн етишип кельгендже энди алты я да еди топракъ томары озь мензиллерине барып еткен эдилер."," Before Aunt Polly could collect her surprised faculties and sally to the rescue, six or seven clods had taken personal effect."
"Том исе исардан атлап, сокъакъта гъайып олды.",And Tom was over the fence and gone.
"Эльбет, ёл къапы деген шей де бар.",There was a gate.
Лякин адети узьре Томда ёл къапыгъадже чапып бармагъа ич де вакъыт къалмай эди., But as a general thing he was too crowded for time to make use of it.
"Энди, Полли аптеге анавы къара йипни косьтерген хаин Сиднен эсап-китап япкъан сонъ къальбинде тынчлыкъ юва къурып башлады.","His soul was at peace, now that he had settled with Sid for calling attention to his black thread and getting him into trouble."
"Том сокъакънынъ айланмасындан бурулды, тизесининъ сыгъыр ахырынынъ арт дивары бойлап узангъан аралыкъта гъайып олды.","Tom skirted the block, and came round into a muddy alley that led by the back of his aunt's cow-stable."
"Бираздан сонъ оны ич бир тюрлю телюке раатсызламай эди. Мында о, тутарлар, джезаларлар деп, ич бир шейден къоркъмаса да ола.","He presently got safely beyond the reach of capture and punishment,"
"О, шеэр мейданына тараф ёл алды."," and hastened toward the public square of the village,"
Бу ерде кунь эвельден анълашылгъаны киби уруш ичюн эки орду топлашаджакъ эди.," where two ""military"" companies of boys had met for conflict, according to previous appointment."
"Бирининъ команданы Том, экинджисининъ команданы онынъ якъын досту Джо Гарпер.","Tom was General of one of these armies, Joe Harper (a bosom friend) General of the other."
"Эки улу командан бири-биринен шахсен урушмакъны алчакълыкъ, деп биле, уруш – уфакъ-тюфеклерге ярашыр, деп сая эдилер; олар байыр устюнде отурып озьлерининъ адъютантлары вастасынен эмирлер берелер, урушкъа етекчилик япалар.",These two great commanders did not condescend to fight in person—that being better suited to the still smaller fry—but sat together on an eminence and conducted the field operations by orders delivered through aides-de-camp.
Узун сюрген къатты чарпышмада Том ордусы гъалип чыкъты.,"Tom's army won a great victory, after a long and hard-fought battle."
"Эки ордуда сафларында эляк олгъанларны сайып чыкъты, эсирлернен алмаштылар, ве олар арасындаки янъы дженк не ичюн башланаджагъы акъкъында анълашып, аль этиджи чарпышманынъ кунюни бельгиледилер.Сонъра эки орду сафкъа тизильдилер ве тантаналы маршнен уруш мейданыны терк эттилер, Том исе эвге бир озю къайтты.","Then the dead were counted, prisoners exchanged, the terms of the next disagreement agreed upon, and the day for the necessary battle appointed;after which the armies fell into line and marched away, and Tom turned homeward alone."
"Джэфф Тэчернинъ эви янындан кечип кетеяткъанда о, багъча ичинде аджайип, мавы козьлю, эки орьме этип орюльген алтынтюс сачлары олгъан, устюнде бем-беяз язлыкъ антери тикишли панталончыкълары олгъан янъы бир къызчыкъны корип къалды.","As he was passing by the house where Jeff Thatcher lived, he saw a new girl in the garden—a lovely little blue-eyed creature with yellow hair plaited into two long-tails, white summer frock and embroidered pantalettes."
Даа демин шан-шурет ичинде ювунгъан къараман бир окъсуз юректен урулды.,The fresh-crowned hero fell without firing a shot.
"Насылдыр бир Эмми Лоренс адлы къызчыкъ онынъ юрегинден, излерини биле къалдырмайып, пырр! этип учып кетти.",A certain Amy Lawrence vanished out of his heart and left not even a memory of herself behind.
Том исе Эмми Лоренс акъыны джояджакъ дереджеде севе деп беллей эди.,He had thought he loved her to distraction; he had regarded his passion as adoration; and behold it was only a poor little evanescent partiality.
"Мегер, бу бир аньлик бир эгленджеден гъайры ич бир шей дегиль экен. Онынъ ашкъына саиб чыкъмакъ ичюн о, бир къач ай юрьди. О, Томны севгени акъкъында даа якъында, олгъаны-оладжагъы бир афта эвельси айтты.",He had been months winning her;she had confessed hardly a week ago;
"Шу къыскъа еди кунь девамында Том озюни дюньяда энъ бахтлы огълан, деп сая эди. Лякин о, бир дакъкъалыкъ зияретке кельген тесадуфий мусафир киби, бир аньде онынъ юрегинден чыкъып кетти."," he had been the happiest and the proudest boy in the world only seven short days, and here in one instant of time she had gone out of his heart like a casual stranger whose visit is done."
"Том шу янъы мелекке гизлиден бакъа эди. Ниает, мелек оны абайлады.","He worshipped this new angel with furtive eye, till he saw that she had discovered him;"
"Шунда Том къызчыкъны корьмемезликке урды ве онынъ алдында «форсаланмагъа» башлады. Огълан балалар арасында адет тюсюни алгъан, акъылгъа ятмагъан чешит тюрлю къурназлыкълар япа ве къызчыкъта айрет дуйгъуларыны уянта эди.","then he pretended he did not know she was present, and began to ""show off"" in all sorts of absurd boyish ways, in order to win her admiration."
"Озюнинъ мына шу айын-оюнларыны, фокусларыны бир къач вакъыткъадже девам эттирди. Бир кереси Том телюкели акробатик трюкни япаяткъанында къызчыкъ тургъан тарафкъа бакъты. Бакъса не корьсин: къызчыкъ онъа бакъмайып, эвлерине тараф кетмекте эди.","He kept up this grotesque foolishness for some time; but by-and-by, while he was in the midst of some dangerous gymnastic performances, he glanced aside and saw that the little girl was wending her way toward the house."
Том якъынджа кельди ве кейфи бозукъ алда тирсеклерини исаргъа таяндырып турды; къызчыкъ багъчада бираз вакъыт даа къалмасыны пек истеди…,"Tom came up to the fence and leaned on it, grieving, and hoping she would tarry yet awhile longer."
"Къызчыкъ, керчектен де, басамакълар устюнде бираз даа токъталды, сонъра къапыгъа тараф адымлады.",She halted a moment on the steps and then moved toward the door.
Къызчыкъ босагъагъа ильк адымыны ташлагъанда Том терен кокюс кечирди.,Tom heaved a great sigh as she put her foot on the threshold.
Лякин шу ань онынъ бетинде тебессюм пейда олды: къызчыкъ къапы артында гъайып олып кетмезден эвель айланып артына бакъты ве исар устюнден Томгъа маргаритка чечечигини атты.,"But his face lit up, right away, for she tossed a pansy over the fence a moment before she disappeared."
"Том чечекнинъ этрафында чапмагъа башлады, сонъра ондан эки адым авлакъта авучыны козьлерине сипер япып, сокъакънынъ о бир башына дикъкъатнен бакъмагъа башлады, дерсинъ анда меракълы бир шейлер юзь бермекте эди.","The boy ran around and stopped within a foot or two of the flower, and then shaded his eyes with his hand and began to look down street as if he had discovered something of interest going on in that direction."
"Сонъра ерден бир тобан сабагъыны алды, оны буруны астына ерлештирди, тобан сабагъа муваззенити сакъламасы ичюн башыны арткъа атты.Тобан сабагъыны балансирлей-балансирлей чечекке эп якъынлашты, ялынаягъынен онынъ устюне басты, оны чевик пармакъларынен тутты ве бир аягъынынъ устюнде атлай-атлай, къыйметли бахшыш озюне алып кетип, айланма артында гъайып олды.","Presently he picked up a straw and began trying to balance it on his nose, with his head tilted far back; and as he moved from side to side, in his efforts, he edged nearer and nearer toward the pansy; finally his bare foot rested upon it, his pliant toes closed upon it, and he hopped away with the treasure and disappeared round the corner."
"Лякин о, бир дакъкъачыкъкъа гизленди: курткасынынъ огюни чезди ве чечекни кокрегине басып, юрегине, бельки де, ашкъазанына якъынджа ерге гизледи, не ичюн дегенде анатомияда о, мына санъа къуветли бильги саиби дегиль эди, бойле шейлерни къайдан бильсин.","But only for a minute—only while he could button the flower inside his jacket, next his heart—or next his stomach, possibly, for he was not much posted in anatomy, and not hypercritical, anyway."
"Сонъра о, кене къайтып кельди ве акъшам маалинедже исар янында доланып, чешит тюрлю айнорлыкълар япып юрьди.","He returned, now, and hung about the fence till nightfall, ""showing off,"" as before;"
"Къызчыкъ корюнмеди; лякин Том: бельки о, анда, пенджере янында отурадыр, онынъ эшкъына бу къадар исрарлыкъ косьтергенини коредир, деп озюни бельгисиз бир умютнен тынчландыра.","but the girl never exhibited herself again, though Tom comforted himself a little with the hope that she had been near some window, meantime, and been aware of his attentions."
"Ве ниает, о, истер-истемез эвлерине къайтты, онынъ гъарип башчыгъы фантастик хаялларнен рыкъма-рыкъ толу эди.","Finally he strode home reluctantly, with his poor head full of visions."
"Акъшамлыкъ емек вакъытында о, ойле де бир ихтираслы эди ки, заваллы Полли апте балагъа бир шей олмадымы экен, деп къасеветке далды.","All through supper his spirits were so high that his aunt wondered ""what had got into the child."""
"Сиднинъ устюне топракъ томарлары аткъаны ичюн яхшы тазир ашады, лякин бу шей Томнынъ кейфини ич де бозмагъангъа бенъзей."," He took a good scolding about clodding Sid, and did not seem to mind it in the least."
"О, тизесининъ буруны астындан шекер кесегини айындыраджакъ олды ве шу ань эллерине шамар тюшти, лякин бунъа онынъ джаны агъырмады ялынъыз:","He tried to steal sugar under his aunt's very nose, and got his knuckles rapped for it."
"– Тизе, Сид шекер хырсызлагъанда не ичюн оны урмайсынъыз, – деп ташлады.","He said:""Aunt, you don't whack Sid when he takes it."""
– Сид адамларны сен киби чекиштирмей.,"""Well, Sid don't torment a body the way you do."
"Эгер сенинъ пешинъден козетмесенъ, сен шекерлик ичинден чыкъмаз эдинъ.","You'd be always into that sugar if I warn't watching you."""
"Мына Полли апте ашханеге чыкъты ве, Сид, тазирленмегенине къуванып, Томны эриштирген киби, элини шекерликке узатты.","Presently she stepped into the kitchen, and Sid, happy in his immunity, reached for the sugar-bowl—a sort of glorying over Tom which was wellnigh unbearable."
"Лякин шекерлик Сиднинъ пармакълары арасындан сыпты, ерге тюшти ве къырылды.",But Sid's fingers slipped and the bowl dropped and broke.
"Том о къадар къуванды,о къадар къуванды ки, къуванчындан тилини тутып оламады, къычырып йиберди.",Tom was in ecstasies.In such ecstasies that he even controlled his tongue and was silent.
"О, агъызыны ачып бир сёз айтмамагъа, атта Полли апте къайтып кельгенде биле яваш ве тынч отурмагъа къарар берди,Полли апте ким къырды деп эписи бир сорайджакъ!","He said to himself that he would not speak a word, even when his aunt came in, but would sit perfectly still till she asked who did the mischief."
"Ве, шунда о, шекерликни ким къыргъаныны айтыр – Сидни, мынавы нумюнели огъланчыкъны насыл этип тазирлегенини шенъ-шерамет сейир этер."," And then he would tell, and there would be nothing so good in the world as to see that pet model ""catch it."""
